Journee,Team,Adversaire,H/A,resultat,p.,c.
10.0,FC Nantes,Stade Rennais FC,H,1 - 2,1,2
10.0,Stade Rennais FC,FC Nantes,A,1 - 2,2,1
10.0,SM Caen,AS Saint-Etienne,H,0 - 2,0,2
10.0,AS Saint-Etienne,SM Caen,A,0 - 2,2,0
10.0,FC Metz,OGC Nice,H,2 - 4,2,4
10.0,OGC Nice,FC Metz,A,2 - 4,4,2
10.0,Paris Saint-Germain,Olympique de Marseille,H,0 - 0,0,0
10.0,Olympique de Marseille,Paris Saint-Germain,A,0 - 0,0,0
11.0,LOSC,Paris Saint-Germain,H,0 - 1,0,1
11.0,Paris Saint-Germain,LOSC,A,0 - 1,1,0
11.0,Toulouse FC,Olympique Lyonnais,H,1 - 2,1,2
11.0,Olympique Lyonnais,Toulouse FC,A,1 - 2,2,1
11.0,SC Bastia,Dijon FCO,H,0 - 0,0,0
11.0,Dijon FCO,SC Bastia,A,0 - 0,0,0
11.0,EA Guingamp,Angers SCO,H,1 - 0,1,0
11.0,Angers SCO,EA Guingamp,A,1 - 0,0,1
11.0,FC Lorient,Montpellier Hérault SC,H,2 - 2,2,2
11.0,Montpellier Hérault SC,FC Lorient,A,2 - 2,2,2
11.0,AS Nancy Lorraine,SM Caen,H,2 - 0,2,0
11.0,SM Caen,AS Nancy Lorraine,A,2 - 0,0,2
11.0,AS Saint-Etienne,AS Monaco,H,1 - 1,1,1
11.0,AS Monaco,AS Saint-Etienne,A,1 - 1,1,1
11.0,OGC Nice,FC Nantes,H,4 - 1,4,1
11.0,FC Nantes,OGC Nice,A,4 - 1,1,4
11.0,Stade Rennais FC,FC Metz,H,1 - 0,1,0
11.0,FC Metz,Stade Rennais FC,A,1 - 0,0,1
11.0,Olympique de Marseille,Girondins de Bordeaux,H,0 - 0,0,0
11.0,Girondins de Bordeaux,Olympique de Marseille,A,0 - 0,0,0
12.0,Montpellier Hérault SC,Olympique de Marseille,H,3 - 1,3,1
12.0,Olympique de Marseille,Montpellier Hérault SC,A,3 - 1,1,3
12.0,AS Monaco,AS Nancy Lorraine,H,6 - 0,6,0
12.0,AS Nancy Lorraine,AS Monaco,A,6 - 0,0,6
